"","dcode","dname","month","wasteamt"
"307",1033,"คลองเตย","04-2018",8712.35
"308",1018,"คลองสาน","04-2018",3725.06
"309",1046,"คลองสามวา","04-2018",5635.02
"310",1043,"คันนายาว","04-2018",4237.22
"311",1030,"จตุจักร","04-2018",12403.8
"312",1035,"จอมทอง","04-2018",6200.64
"313",1036,"ดอนเมือง","04-2018",6297.95
"314",1026,"ดินแดง","04-2018",8569.7
"315",1002,"ดุสิต","04-2018",4859.39
"316",1019,"ตลิ่งชัน","04-2018",4524.61
"317",1048,"ทวีวัฒนา","04-2018",3122.74
"318",1049,"ทุ่งครุ","04-2018",4327.12
"319",1015,"ธนบุรี","04-2018",4911.99
"320",1020,"บางกอกน้อย","04-2018",4998.14
"321",1016,"บางกอกใหญ่","04-2018",2297.14
"322",1006,"บางกะปิ","04-2018",9989.96
"323",1021,"บางขุนเทียน","04-2018",9947.26
"324",1005,"บางเขน","04-2018",8955.44
"325",1031,"บางคอแหลม","04-2018",4047.56
"326",1040,"บางแค","04-2018",8297.84
"327",1029,"บางซื่อ","04-2018",4861.2
"328",1047,"บางนา","04-2018",6600.62
"329",1050,"บางบอน","04-2018",6597.85
"330",1025,"บางพลัด","04-2018",4704.84
"331",1004,"บางรัก","04-2018",4352.92
"332",1027,"บึงกุ่ม","04-2018",5968.32
"333",1007,"ปทุมวัน","04-2018",8985.14
"334",1032,"ประเวศ","04-2018",8472.81
"335",1008,"ป้อมปราบศัตรูพ่าย","04-2018",2352.31
"336",1014,"พญาไท","04-2018",5042.16
"337",1009,"พระโขนง","04-2018",4252.77
"338",1001,"พระนคร","04-2018",5853.09
"339",1022,"ภาษีเจริญ","04-2018",4683.46
"340",1010,"มีนบุรี","04-2018",5546.15
"341",1012,"ยานนาวา","04-2018",5429.96
"342",1037,"ราชเทวี","04-2018",6552.85
"343",1024,"ราษฎร์บูรณะ","04-2018",3619.44
"344",1011,"ลาดกระบัง","04-2018",8552.31
"345",1038,"ลาดพร้าว","04-2018",6291.32
"346",1045,"วังทองหลาง","04-2018",6805.94
"347",1039,"วัฒนา","04-2018",8399.55
"348",1034,"สวนหลวง","04-2018",6920.39
"349",1044,"สะพานสูง","04-2018",3751.7
"350",1013,"สัมพันธวงศ์","04-2018",1548.76
"351",1028,"สาทร","04-2018",4735.55
"352",1042,"สายไหม","04-2018",6997.78
"353",1023,"หนองแขม","04-2018",4998.62
"354",1003,"หนองจอก","04-2018",4023.82
"355",1041,"หลักสี่","04-2018",5452.7
"356",1017,"ห้วยขวาง","04-2018",6778.21
"357",1000,"อื่นๆ","04-2018",15837.7
"358",1033,"คลองเตย","05-2018",9585.28
"359",1018,"คลองสาน","05-2018",4045.37
"360",1046,"คลองสามวา","05-2018",6388.36
"361",1043,"คันนายาว","05-2018",5109.66
"362",1030,"จตุจักร","05-2018",14280.4
"363",1035,"จอมทอง","05-2018",7029.14
"364",1036,"ดอนเมือง","05-2018",7098.63
"365",1026,"ดินแดง","05-2018",9490.48
"366",1002,"ดุสิต","05-2018",5649.7
"367",1019,"ตลิ่งชัน","05-2018",5099.72
"368",1048,"ทวีวัฒนา","05-2018",3669.53
"369",1049,"ทุ่งครุ","05-2018",4701.27
"370",1015,"ธนบุรี","05-2018",5277.54
"371",1020,"บางกอกน้อย","05-2018",5567.5
"372",1016,"บางกอกใหญ่","05-2018",2578.43
"373",1006,"บางกะปิ","05-2018",11089.7
"374",1021,"บางขุนเทียน","05-2018",11028.5
"375",1005,"บางเขน","05-2018",10302.5
"376",1031,"บางคอแหลม","05-2018",4449.02
"377",1040,"บางแค","05-2018",9489.45
"378",1029,"บางซื่อ","05-2018",5603.5
"379",1047,"บางนา","05-2018",7384.71
"380",1050,"บางบอน","05-2018",7399.51
"381",1025,"บางพลัด","05-2018",5200.05
"382",1004,"บางรัก","05-2018",4897.93
"383",1027,"บึงกุ่ม","05-2018",6839.91
"384",1007,"ปทุมวัน","05-2018",9570.61
"385",1032,"ประเวศ","05-2018",9779.03
"386",1008,"ป้อมปราบศัตรูพ่าย","05-2018",2600.79
"387",1014,"พญาไท","05-2018",5678.83
"388",1009,"พระโขนง","05-2018",4802.6
"389",1001,"พระนคร","05-2018",6193.28
"390",1022,"ภาษีเจริญ","05-2018",5231.48
"391",1010,"มีนบุรี","05-2018",6321.72
"392",1012,"ยานนาวา","05-2018",6286.38
"393",1037,"ราชเทวี","05-2018",7166.17
"394",1024,"ราษฎร์บูรณะ","05-2018",3890.15
"395",1011,"ลาดกระบัง","05-2018",9977.51
"396",1038,"ลาดพร้าว","05-2018",7015.59
"397",1045,"วังทองหลาง","05-2018",7595.19
"398",1039,"วัฒนา","05-2018",9048.93
"399",1034,"สวนหลวง","05-2018",7775.62
"400",1044,"สะพานสูง","05-2018",4200.5
"401",1013,"สัมพันธวงศ์","05-2018",1705.14
"402",1028,"สาทร","05-2018",5267.05
"403",1042,"สายไหม","05-2018",8052.39
"404",1023,"หนองแขม","05-2018",5698.06
"405",1003,"หนองจอก","05-2018",4572.32
"406",1041,"หลักสี่","05-2018",6223.68
"407",1017,"ห้วยขวาง","05-2018",7294.57
"408",1000,"อื่นๆ","05-2018",19220.53
"409",1033,"คลองเตย","06-2018",9290.67
"410",1018,"คลองสาน","06-2018",3797.35
"411",1046,"คลองสามวา","06-2018",6258.45
"412",1043,"คันนายาว","06-2018",4733.23
"413",1030,"จตุจักร","06-2018",13604.8
"414",1035,"จอมทอง","06-2018",6733.89
"415",1036,"ดอนเมือง","06-2018",6542.69
"416",1026,"ดินแดง","06-2018",9011.95
"417",1002,"ดุสิต","06-2018",5311.6
"418",1019,"ตลิ่งชัน","06-2018",4557.22
"419",1048,"ทวีวัฒนา","06-2018",3391.67
"420",1049,"ทุ่งครุ","06-2018",4304.1
"421",1015,"ธนบุรี","06-2018",4972.64
"422",1020,"บางกอกน้อย","06-2018",5167.26
"423",1016,"บางกอกใหญ่","06-2018",2430.94
"424",1006,"บางกะปิ","06-2018",10738.1
"425",1021,"บางขุนเทียน","06-2018",10484.6
"426",1005,"บางเขน","06-2018",9622.26
"427",1031,"บางคอแหลม","06-2018",4247.16
"428",1040,"บางแค","06-2018",8857.47
"429",1029,"บางซื่อ","06-2018",5091.98
"430",1047,"บางนา","06-2018",7153.92
"431",1050,"บางบอน","06-2018",7033.23
"432",1025,"บางพลัด","06-2018",4804.5
"433",1004,"บางรัก","06-2018",4851.46
"434",1027,"บึงกุ่ม","06-2018",6334.08
"435",1007,"ปทุมวัน","06-2018",9156.05
"436",1032,"ประเวศ","06-2018",9609.78
"437",1008,"ป้อมปราบศัตรูพ่าย","06-2018",2502.78
"438",1014,"พญาไท","06-2018",5508.47
"439",1009,"พระโขนง","06-2018",4559.81
"440",1001,"พระนคร","06-2018",6010.62
"441",1022,"ภาษีเจริญ","06-2018",4998.55
"442",1010,"มีนบุรี","06-2018",6058.66
"443",1012,"ยานนาวา","06-2018",5917.59
"444",1037,"ราชเทวี","06-2018",6945.94
"445",1024,"ราษฎร์บูรณะ","06-2018",3651.39
"446",1011,"ลาดกระบัง","06-2018",9458.37
"447",1038,"ลาดพร้าว","06-2018",6965.01
"448",1045,"วังทองหลาง","06-2018",7287.36
"449",1039,"วัฒนา","06-2018",9148.34
"450",1034,"สวนหลวง","06-2018",7582.82
"451",1044,"สะพานสูง","06-2018",3905.95
"452",1013,"สัมพันธวงศ์","06-2018",1621.48
"453",1028,"สาทร","06-2018",5027.43
"454",1042,"สายไหม","06-2018",7471.77
"455",1023,"หนองแขม","06-2018",5379.47
"456",1003,"หนองจอก","06-2018",4416.93
"457",1041,"หลักสี่","06-2018",5770.65
"458",1017,"ห้วยขวาง","06-2018",7105.93
"459",1000,"อื่นๆ","06-2018",17133.26
"460",1033,"คลองเตย","07-2018",9346.7
"461",1018,"คลองสาน","07-2018",3722.18
"462",1046,"คลองสามวา","07-2018",5821.24
"463",1043,"คันนายาว","07-2018",4637.76
"464",1030,"จตุจักร","07-2018",13543.3
"465",1035,"จอมทอง","07-2018",6498.68
"466",1036,"ดอนเมือง","07-2018",6827.16
"467",1026,"ดินแดง","07-2018",8962.59
"468",1002,"ดุสิต","07-2018",5080.3
"469",1019,"ตลิ่งชัน","07-2018",4513.84
"470",1048,"ทวีวัฒนา","07-2018",3379.47
"471",1049,"ทุ่งครุ","07-2018",4187.84
"472",1015,"ธนบุรี","07-2018",5165.11
"473",1020,"บางกอกน้อย","07-2018",5132.21
"474",1016,"บางกอกใหญ่","07-2018",2488.32
"475",1006,"บางกะปิ","07-2018",10667.3
"476",1021,"บางขุนเทียน","07-2018",10173.4
"477",1005,"บางเขน","07-2018",9910.42
"478",1031,"บางคอแหลม","07-2018",4190.77
"479",1040,"บางแค","07-2018",8599.92
"480",1029,"บางซื่อ","07-2018",5067.82
"481",1047,"บางนา","07-2018",6842.68
"482",1050,"บางบอน","07-2018",6890.97
"483",1025,"บางพลัด","07-2018",4678.53
"484",1004,"บางรัก","07-2018",4683.8
"485",1027,"บึงกุ่ม","07-2018",6312.35
"486",1007,"ปทุมวัน","07-2018",9416.43
"487",1032,"ประเวศ","07-2018",9762.69
"488",1008,"ป้อมปราบศัตรูพ่าย","07-2018",2488.47
"489",1014,"พญาไท","07-2018",5552.65
"490",1009,"พระโขนง","07-2018",4560.86
"491",1001,"พระนคร","07-2018",6004.04
"492",1022,"ภาษีเจริญ","07-2018",4978.25
"493",1010,"มีนบุรี","07-2018",6091.83
"494",1012,"ยานนาวา","07-2018",5767.81
"495",1037,"ราชเทวี","07-2018",7092.56
"496",1024,"ราษฎร์บูรณะ","07-2018",3706.98
"497",1011,"ลาดกระบัง","07-2018",9648.36
"498",1038,"ลาดพร้าว","07-2018",6870.24
"499",1045,"วังทองหลาง","07-2018",7138.37
"500",1039,"วัฒนา","07-2018",9293.35
"501",1034,"สวนหลวง","07-2018",7578.08
"502",1044,"สะพานสูง","07-2018",3999.3
"503",1013,"สัมพันธวงศ์","07-2018",1650.86
"504",1028,"สาทร","07-2018",5004.02
"505",1042,"สายไหม","07-2018",7643.35
"506",1023,"หนองแขม","07-2018",5332.05
"507",1003,"หนองจอก","07-2018",4529.43
"508",1041,"หลักสี่","07-2018",5651.8
"509",1017,"ห้วยขวาง","07-2018",7130.4
"510",1000,"อื่นๆ","07-2018",17591.82
"511",1033,"คลองเตย","08-2018",9629.9
"512",1018,"คลองสาน","08-2018",3868.45
"513",1046,"คลองสามวา","08-2018",6048.6
"514",1043,"คันนายาว","08-2018",4886.96
"515",1030,"จตุจักร","08-2018",13763.9
"516",1035,"จอมทอง","08-2018",6830.38
"517",1036,"ดอนเมือง","08-2018",6847.77
"518",1026,"ดินแดง","08-2018",9327.31
"519",1002,"ดุสิต","08-2018",5351.61
"520",1019,"ตลิ่งชัน","08-2018",4641.88
"521",1048,"ทวีวัฒนา","08-2018",3471.81
"522",1049,"ทุ่งครุ","08-2018",4228.74
"523",1015,"ธนบุรี","08-2018",5130.82
"524",1020,"บางกอกน้อย","08-2018",5355.15
"525",1016,"บางกอกใหญ่","08-2018",2443.14
"526",1006,"บางกะปิ","08-2018",11236.2
"527",1021,"บางขุนเทียน","08-2018",10584.3
"528",1005,"บางเขน","08-2018",9886.74
"529",1031,"บางคอแหลม","08-2018",4360.87
"530",1040,"บางแค","08-2018",8992.11
"531",1029,"บางซื่อ","08-2018",5325.65
"532",1047,"บางนา","08-2018",6890.88
"533",1050,"บางบอน","08-2018",7042.18
"534",1025,"บางพลัด","08-2018",4957.82
"535",1004,"บางรัก","08-2018",4906.34
"536",1027,"บึงกุ่ม","08-2018",6368.43
"537",1007,"ปทุมวัน","08-2018",9881.88
"538",1032,"ประเวศ","08-2018",9761.35
"539",1008,"ป้อมปราบศัตรูพ่าย","08-2018",2538.71
"540",1014,"พญาไท","08-2018",5603.85
"541",1009,"พระโขนง","08-2018",4672.71
"542",1001,"พระนคร","08-2018",6102.13
"543",1022,"ภาษีเจริญ","08-2018",5192.11
"544",1010,"มีนบุรี","08-2018",6181.98
"545",1012,"ยานนาวา","08-2018",5908.32
"546",1037,"ราชเทวี","08-2018",7168.87
"547",1024,"ราษฎร์บูรณะ","08-2018",3768.68
"548",1011,"ลาดกระบัง","08-2018",9875.36
"549",1038,"ลาดพร้าว","08-2018",7051.5
"550",1045,"วังทองหลาง","08-2018",7374.49
"551",1039,"วัฒนา","08-2018",9531.48
"552",1034,"สวนหลวง","08-2018",7587.66
"553",1044,"สะพานสูง","08-2018",4142.35
"554",1013,"สัมพันธวงศ์","08-2018",1745.57
"555",1028,"สาทร","08-2018",5219.52
"556",1042,"สายไหม","08-2018",7730.67
"557",1023,"หนองแขม","08-2018",5631.77
"558",1003,"หนองจอก","08-2018",4535.39
"559",1041,"หลักสี่","08-2018",5755.89
"560",1017,"ห้วยขวาง","08-2018",7256.16
"561",1000,"อื่นๆ","08-2018",18919.44
"562",1033,"คลองเตย","09-2018",9213.72
"563",1018,"คลองสาน","09-2018",3534.99
"564",1046,"คลองสามวา","09-2018",5570.11
"565",1043,"คันนายาว","09-2018",4657.03
"566",1030,"จตุจักร","09-2018",13194.2
"567",1035,"จอมทอง","09-2018",6077.26
"568",1036,"ดอนเมือง","09-2018",6458.73
"569",1026,"ดินแดง","09-2018",8830.82
"570",1002,"ดุสิต","09-2018",4875.39
"571",1019,"ตลิ่งชัน","09-2018",4212.41
"572",1048,"ทวีวัฒนา","09-2018",3447.39
"573",1049,"ทุ่งครุ","09-2018",3908.85
"574",1015,"ธนบุรี","09-2018",4626.99
"575",1020,"บางกอกน้อย","09-2018",5067.47
"576",1016,"บางกอกใหญ่","09-2018",2426.53
"577",1006,"บางกะปิ","09-2018",10417.2
"578",1021,"บางขุนเทียน","09-2018",9730.34
"579",1005,"บางเขน","09-2018",9348.17
"580",1031,"บางคอแหลม","09-2018",3928
"581",1040,"บางแค","09-2018",8220.52
"582",1029,"บางซื่อ","09-2018",4859.69
"583",1047,"บางนา","09-2018",6460.68
"584",1050,"บางบอน","09-2018",6412.67
"585",1025,"บางพลัด","09-2018",4489.09
"586",1004,"บางรัก","09-2018",4778.97
"587",1027,"บึงกุ่ม","09-2018",6225.61
"588",1007,"ปทุมวัน","09-2018",9183.87
"589",1032,"ประเวศ","09-2018",9033.04
"590",1008,"ป้อมปราบศัตรูพ่าย","09-2018",2311.92
"591",1014,"พญาไท","09-2018",5548.08
"592",1009,"พระโขนง","09-2018",4432.04
"593",1001,"พระนคร","09-2018",5529.36
"594",1022,"ภาษีเจริญ","09-2018",4886.23
"595",1010,"มีนบุรี","09-2018",5853.88
"596",1012,"ยานนาวา","09-2018",5344.14
"597",1037,"ราชเทวี","09-2018",6667.39
"598",1024,"ราษฎร์บูรณะ","09-2018",3344.35
"599",1011,"ลาดกระบัง","09-2018",9053.66
"600",1038,"ลาดพร้าว","09-2018",6918.61
"601",1045,"วังทองหลาง","09-2018",7150.08
"602",1039,"วัฒนา","09-2018",9005.46
"603",1034,"สวนหลวง","09-2018",7040.22
"604",1044,"สะพานสูง","09-2018",3860
"605",1013,"สัมพันธวงศ์","09-2018",1503.75
"606",1028,"สาทร","09-2018",4719.6
"607",1042,"สายไหม","09-2018",7229.36
"608",1023,"หนองแขม","09-2018",5362.1
"609",1003,"หนองจอก","09-2018",4216.86
"610",1041,"หลักสี่","09-2018",5485.5
"611",1017,"ห้วยขวาง","09-2018",7050.1
"612",1000,"อื่นๆ","09-2018",18327.36
